Feb14-04:16:04
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=False diffusion_steps=40 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
12001 | 0.25s | train acc: 1.000e+00 | val acc: 8.227e-01 | val graph: 5.660e-01 | test node: 8.224e-01 | test graph: 5.680e-01
12101 | 0.24s | train acc: 1.000e+00 | val acc: 8.223e-01 | val graph: 5.620e-01 | test node: 8.145e-01 | test graph: 5.480e-01
12201 | 0.26s | train acc: 1.000e+00 | val acc: 7.990e-01 | val graph: 5.400e-01 | test node: 7.967e-01 | test graph: 5.440e-01
12301 | 0.25s | train acc: 1.000e+00 | val acc: 8.084e-01 | val graph: 5.500e-01 | test node: 8.090e-01 | test graph: 5.550e-01
12401 | 0.25s | train acc: 1.000e+00 | val acc: 8.064e-01 | val graph: 5.380e-01 | test node: 8.035e-01 | test graph: 5.400e-01
12501 | 0.24s | train acc: 1.000e+00 | val acc: 8.092e-01 | val graph: 5.340e-01 | test node: 8.037e-01 | test graph: 5.350e-01
12601 | 0.25s | train acc: 1.000e+00 | val acc: 8.035e-01 | val graph: 5.360e-01 | test node: 7.978e-01 | test graph: 5.320e-01
12701 | 0.25s | train acc: 1.000e+00 | val acc: 7.827e-01 | val graph: 5.100e-01 | test node: 7.765e-01 | test graph: 4.990e-01
12801 | 0.25s | train acc: 1.000e+00 | val acc: 7.953e-01 | val graph: 5.360e-01 | test node: 8.028e-01 | test graph: 5.460e-01
12901 | 0.25s | train acc: 1.000e+00 | val acc: 8.015e-01 | val graph: 5.240e-01 | test node: 8.086e-01 | test graph: 5.470e-01
13001 | 0.25s | train acc: 1.000e+00 | val acc: 8.039e-01 | val graph: 5.300e-01 | test node: 8.052e-01 | test graph: 5.340e-01
13101 | 0.25s | train acc: 1.000e+00 | val acc: 8.166e-01 | val graph: 5.440e-01 | test node: 8.175e-01 | test graph: 5.560e-01
13201 | 0.25s | train acc: 1.000e+00 | val acc: 8.133e-01 | val graph: 5.420e-01 | test node: 8.160e-01 | test graph: 5.500e-01
13301 | 0.24s | train acc: 1.000e+00 | val acc: 8.190e-01 | val graph: 5.560e-01 | test node: 8.164e-01 | test graph: 5.550e-01
13401 | 0.25s | train acc: 1.000e+00 | val acc: 8.231e-01 | val graph: 5.660e-01 | test node: 8.190e-01 | test graph: 5.660e-01
13501 | 0.24s | train acc: 1.000e+00 | val acc: 8.154e-01 | val graph: 5.540e-01 | test node: 8.181e-01 | test graph: 5.540e-01
13601 | 0.25s | train acc: 1.000e+00 | val acc: 8.137e-01 | val graph: 5.460e-01 | test node: 8.103e-01 | test graph: 5.420e-01
